tipo_celular,module_size,IRAK1BP1_MM,IRAK1BP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.121,34.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),2.58,4.57
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,3,0.85,0.90 (-0.14-1.94),350,99.15,3.92 (3.74-4.11),15.88,8.00
GABA neurons expressing GLU receptors 22,459.0,0.154,49.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58),3.45,4.11
GLU like neurons 17,1316.0,0.151,73.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,77.0,0.309,56.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.477,97.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.103,20.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.197,76.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81),6.61,5.09
oligodendrocytes 10,2107.0,0.091,23.0,358,6,1.68,0.90 (0.43-1.37),352,98.32,3.93 (3.74-4.12),8.03,9.50
connective tissue cells 21,95.0,0.26,38.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,1768.0,0.135,86.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62),5.54,3.93
oligodendrocytes 16,64.0,0.281,91.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.281,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.158,62.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,117.0,0.116,26.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.115,76.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.13,27.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
