tipo_celular,module_size,PSMB2_MM,PSMB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.077,8.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.107,8.0,251,1,0.4,4.23 (NA-NA),250,99.6,4.06 (3.83-4.30),2.32,6.17
GABA neurons expressing GLU receptors 22,1069.0,0.134,26.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685.0,0.068,10.0,135,14,10.37,1.78 (1.07-2.50),121,89.63,3.32 (3.01-3.64),5.86,3.51
da like neurons 11,1220.0,0.117,23.0,410,25,6.1,3.28 (2.81-3.75),385,93.9,4.32 (4.13-4.52),14.54,7.06
GABA neurons expressing GABA receptors 13,417.0,0.133,29.0,213,39,18.31,2.41 (1.90-2.92),174,81.69,4.10 (3.85-4.35),7.59,10.16
endothelial cells 9,916.0,0.224,56.0,302,11,3.64,3.17 (2.22-4.11),291,96.36,4.02 (3.78-4.25),9.37,10.70
oligodendrocytes 20,938.0,0.06,18.0,169,18,10.65,3.17 (2.48-3.86),151,89.35,3.52 (3.28-3.75),8.14,5.03
GABA like neurons 14,2402.0,0.236,52.0,455,40,8.79,2.48 (2.01-2.95),415,91.21,4.57 (4.39-4.76),20.92,7.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.068,33.0,235,11,4.68,3.54 (2.75-4.33),224,95.32,3.83 (3.60-4.07),10.65,7.47
oligodendrocytes 10,735.0,0.188,85.0,277,4,1.44,4.03 (3.69-4.37),273,98.56,3.89 (3.65-4.14),6.74,8.98
connective tissue cells 21,91.0,0.336,75.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.222,66.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,729.0,0.088,16.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89),2.74,8.55
astrocytes microglia 23,53.0,0.458,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.097,9.0,252,37,14.68,2.47 (1.96-2.98),215,85.32,4.42 (4.17-4.67),13.32,7.33
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.059,13.0,345,20,5.8,3.71 (3.34-4.08),325,94.2,4.31 (4.09-4.53),13.97,5.18
oligodendrocytes 2,526.0,0.163,19.0,213,4,1.88,4.03 (3.69-4.37),209,98.12,3.98 (3.70-4.26),2.47,8.04
