tipo_celular,module_size,CDH6_MM,CDH6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.092,9.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666.0,0.177,58.0,127,5,3.94,4.22 (3.54-4.90),122,96.06,3.81 (3.46-4.17),3.58,5.93
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,137.0,0.175,17.0,2,1,50.0,NA,1,50.0,5.16 (NA-NA),1.87,1.40
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.452,86.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.076,7.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.127,62.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.088,61.0,276,12,4.35,2.15 (1.58-2.73),264,95.65,3.62 (3.40-3.84),19.26,4.47
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,118.0,0.191,6.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768.0,0.105,67.0,105,10,9.52,1.50 (1.02-1.98),95,90.48,3.41 (3.06-3.76),9.13,3.44
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.137,76.0,122,13,10.66,1.94 (0.69-3.19),109,89.34,4.29 (3.92-4.66),3.97,3.43
astrocytes microglia 23,140.0,0.244,11.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,220.0,0.105,11.0,63,4,6.35,4.15 (2.69-5.62),59,93.65,5.22 (4.62-5.81),3.62,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
