tipo_celular,module_size,UQCC2_MM,UQCC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.098,23.0,136,5,3.68,2.25 (0.84-3.67),131,96.32,3.25 (2.98-3.52),7.05,4.91
oligodendrocyte progenitor cells 7,628.0,0.095,5.0,164,10,6.1,2.76 (2.28-3.25),154,93.9,4.20 (3.86-4.55),5.40,7.66
GABA neurons expressing GLU receptors 22,1069.0,0.083,6.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.268,60.0,455,58,12.75,3.05 (2.57-3.53),397,87.25,4.61 (4.43-4.80),19.02,7.35
astrocytes 8,603.0,0.094,62.0,89,10,11.24,1.80 (1.24-2.37),79,88.76,2.93 (2.55-3.32),4.56,6.23
oligodendrocyte progenitor cells 12,1049.0,0.106,59.0,235,13,5.53,2.98 (2.40-3.56),222,94.47,3.88 (3.64-4.13),10.70,7.43
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.118,75.0,96,11,11.46,2.97 (1.87-4.06),85,88.54,3.72 (3.23-4.21),3.79,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.318,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.136,33.0,104,20,19.23,1.86 (1.30-2.43),84,80.77,3.11 (2.81-3.41),12.83,3.63
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
