tipo_celular,module_size,PDGFC_MM,PDGFC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.413,97.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.12,33.0,166,16,9.64,1.76 (1.29-2.22),150,90.36,3.61 (3.35-3.86),6.67,4.32
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,28,7.93,1.79 (1.36-2.22),325,92.07,4.13 (3.95-4.31),28.77,6.28
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.204,51.0,120,43,35.83,4.02 (3.57-4.48),77,64.17,5.00 (4.59-5.40),4.44,3.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.145,56.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,727.0,0.222,94.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,218.0,0.196,40.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.106,68.0,105,14,13.33,1.79 (1.27-2.30),91,86.67,3.45 (3.10-3.81),7.89,3.38
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.319,89.0,57,5,8.77,2.69 (2.16-3.22),52,91.23,2.65 (2.26-3.04),3.31,3.33
astrocytes 4,752.0,0.161,61.0,96,4,4.17,2.29 (1.86-2.73),92,95.83,3.34 (3.00-3.69),2.27,4.41
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.215,79.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26),1.34,4.56
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
