tipo_celular,module_size,GALC_MM,GALC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.07,3.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07),1.95,3.60
T cells 18,393.0,0.194,71.0,59,3,5.08,4.03 (4.03-4.03),56,94.92,3.05 (2.52-3.58),3.42,5.45
astrocytes 5,1656.0,0.13,73.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,14,3.97,1.27 (0.72-1.82),339,96.03,4.03 (3.85-4.21),47.23,6.45
GABA neurons expressing GLU receptors 22,567.0,0.155,34.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,153.0,0.063,2.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.079,27.0,169,3,1.78,2.53 (0.22-4.83),166,98.22,3.50 (3.28-3.72),3.22,5.40
GABA like neurons 14,3052.0,0.167,74.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,218.0,0.06,33.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,7,2.54,2.07 (1.41-2.74),269,97.46,3.59 (3.37-3.81),23.76,4.62
oligodendrocytes 10,2107.0,0.191,66.0,358,14,3.91,1.27 (0.72-1.82),344,96.09,4.00 (3.82-4.19),45.21,8.02
connective tissue cells 21,96.0,0.242,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.062,25.0,105,8,7.62,1.84 (1.10-2.57),97,92.38,3.34 (2.99-3.68),11.64,3.35
oligodendrocytes 16,91.0,0.282,94.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,95.0,0.278,22.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,1807.0,0.184,98.0,104,9,8.65,1.69 (0.99-2.40),95,91.35,2.98 (2.69-3.27),18.80,4.13
oligodendrocytes 0,2078.0,0.14,93.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,346.0,0.093,10.0,43,6,13.95,5.61 (3.89-7.32),37,86.05,3.48 (3.02-3.94),2.64,4.78
oligodendrocytes 3,743.0,0.111,80.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.132,30.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
