tipo_celular,module_size,IFT88_MM,IFT88_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.177,50.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44),2.10,2.46
T cells 18,349.0,0.22,62.0,68,25,36.76,4.03 (3.26-4.79),43,63.24,4.67 (3.87-5.46),2.85,3.58
astrocytes 5,499.0,0.19,69.0,32,8,25.0,4.96 (4.14-5.79),24,75.0,5.05 (4.42-5.67),4.61,3.52
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,38,10.76,2.76 (2.08-3.44),315,89.24,4.05 (3.86-4.23),17.72,6.90
GABA neurons expressing GLU receptors 22,1069.0,0.148,38.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685.0,0.078,14.0,135,10,7.41,1.62 (1.08-2.15),125,92.59,3.34 (3.02-3.66),3.38,3.78
da like neurons 11,289.0,0.088,8.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.15,30.0,74,16,21.62,5.08 (4.40-5.77),58,78.38,5.65 (4.90-6.40),4.58,3.38
oligodendrocytes 20,275.0,0.237,64.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.105,21.0,125,8,6.4,4.34 (3.93-4.76),117,93.6,3.31 (2.98-3.64),2.91,9.00
astrocytes 8,218.0,0.19,79.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708.0,0.095,40.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29),2.21,2.64
oligodendrocytes 10,1277.0,0.166,79.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,85.0,0.256,25.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768.0,0.067,30.0,105,13,12.38,2.78 (1.50-4.06),92,87.62,3.28 (2.94-3.61),5.76,3.73
oligodendrocytes 16,123.0,0.184,27.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.318,47.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,752.0,0.176,84.0,96,9,9.38,3.39 (2.35-4.43),87,90.62,3.28 (2.93-3.63),3.19,4.44
oligodendrocytes 0,1186.0,0.155,68.0,300,11,3.67,4.55 (3.54-5.56),289,96.33,3.76 (3.55-3.97),3.49,4.18
microglia 1,127.0,0.094,9.0,24,5,20.83,6.20 (5.24-7.16),19,79.17,4.80 (3.97-5.63),2.94,2.35
oligodendrocytes 3,854.0,0.143,90.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.124,28.0,200,11,5.5,4.09 (2.66-5.51),189,94.5,3.60 (3.33-3.87),3.74,3.45
