tipo_celular,module_size,HSPA1A_MM,HSPA1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.128,23.0,73,22,30.14,4.23 (3.87-4.58),51,69.86,3.18 (2.71-3.65),2.28,3.63
T cells 18,477.0,0.385,99.0,43,5,11.63,5.02 (1.82-8.22),38,88.37,1.76 (1.38-2.13),1.75,7.83
astrocytes 5,328.0,0.428,95.0,128,19,14.84,5.48 (4.90-6.07),109,85.16,3.15 (2.82-3.48),2.38,7.52
oligodendrocyte progenitor cells 7,666.0,0.734,100.0,127,60,47.24,3.57 (3.02-4.13),67,52.76,4.02 (3.60-4.44),3.44,7.99
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,88.0,0.123,25.0,2,1,50.0,NA,1,50.0,NA,1.72,1.62
endothelial cells 9,385.0,0.611,100.0,275,147,53.45,3.25 (2.94-3.56),128,46.55,4.99 (4.64-5.33),7.58,3.93
oligodendrocytes 20,322.0,0.21,80.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,2402.0,0.311,68.0,455,137,30.11,3.72 (3.38-4.06),318,69.89,4.64 (4.43-4.86),11.88,7.52
astrocytes 8,603.0,0.312,98.0,89,14,15.73,2.28 (1.48-3.09),75,84.27,2.89 (2.50-3.28),4.77,6.28
oligodendrocyte progenitor cells 12,1049.0,0.114,62.0,235,46,19.57,4.54 (4.06-5.03),189,80.43,3.67 (3.42-3.93),6.30,7.93
oligodendrocytes 10,2107.0,0.184,64.0,358,128,35.75,2.87 (2.62-3.12),230,64.25,4.71 (4.51-4.91),17.70,4.89
connective tissue cells 21,142.0,0.468,98.0,55,36,65.45,3.73 (2.63-4.83),19,34.55,2.85 (1.60-4.10),3.38,3.10
astrocytes 15,1768.0,0.282,100.0,105,53,50.48,2.68 (2.32-3.04),52,49.52,3.78 (3.25-4.32),5.46,2.47
oligodendrocytes 16,96.0,0.126,5.0,102,39,38.24,2.47 (2.03-2.91),63,61.76,3.92 (3.52-4.32),5.30,9.13
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,137.0,0.251,14.0,188,36,19.15,2.36 (1.91-2.81),152,80.85,5.02 (4.68-5.36),7.30,7.11
astrocytes 4,208.0,0.551,98.0,173,40,23.12,5.14 (4.60-5.68),133,76.88,3.39 (3.08-3.70),3.10,6.38
oligodendrocytes 0,613.0,0.364,100.0,127,35,27.56,2.99 (2.43-3.55),92,72.44,3.08 (2.53-3.64),3.52,7.33
microglia 1,406.0,0.191,53.0,278,30,10.79,5.43 (4.89-5.97),248,89.21,4.19 (3.89-4.49),2.05,7.30
oligodendrocytes 3,681.0,0.127,76.0,87,64,73.56,2.58 (2.28-2.88),23,26.44,2.59 (1.96-3.21),4.68,3.02
oligodendrocytes 2,528.0,0.277,80.0,175,59,33.71,4.50 (3.97-5.02),116,66.29,4.33 (3.89-4.77),6.26,3.78
