tipo_celular,module_size,HACL1_MM,HACL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.086,7.0,98,22,22.45,1.91 (1.36-2.45),76,77.55,3.52 (3.20-3.85),8.74,2.68
astrocytes 5,499.0,0.108,13.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.183,99.0,353,44,12.46,2.41 (1.93-2.89),309,87.54,4.15 (3.97-4.34),23.08,5.93
GABA neurons expressing GLU receptors 22,567.0,0.155,34.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,229.0,0.344,98.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,289.0,0.282,84.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.041,8.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26),5.35,2.93
GABA like neurons 14,3052.0,0.099,17.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61),1.86,8.67
astrocytes 8,354.0,0.158,71.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.056,19.0,32,13,40.62,1.97 (1.20-2.75),19,59.38,4.35 (3.26-5.44),3.30,2.12
oligodendrocytes 10,2107.0,0.094,25.0,358,31,8.66,2.08 (1.61-2.56),327,91.34,4.10 (3.90-4.29),31.74,7.36
connective tissue cells 21,106.0,0.394,93.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,377.0,0.246,92.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,85.0,0.256,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.319,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.17,82.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.133,87.0,238,8,3.36,2.37 (1.47-3.27),230,96.64,3.69 (3.46-3.91),5.77,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.103,58.0,87,14,16.09,1.92 (1.31-2.53),73,83.91,2.72 (2.43-3.02),8.61,3.40
oligodendrocytes 2,921.0,0.128,33.0,200,4,2.0,3.67 (2.55-4.79),196,98.0,3.62 (3.35-3.89),3.47,3.46
