tipo_celular,module_size,CORO2B_MM,CORO2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.135,81.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.11,30.0,42,2,4.76,5.63 (2.95-8.32),40,95.24,6.02 (5.44-6.60),2.59,3.24
da like neurons 11,204.0,0.216,62.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,288.0,0.177,53.0,93,9,9.68,2.77 (1.47-4.08),84,90.32,5.45 (4.96-5.93),3.12,4.04
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.154,31.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,2090.0,0.228,89.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.116,75.0,66,15,22.73,2.11 (1.41-2.82),51,77.27,3.62 (3.17-4.08),3.52,2.79
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.234,97.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,250.0,0.372,66.0,117,12,10.26,3.81 (2.78-4.84),105,89.74,5.58 (5.17-5.99),3.14,3.81
astrocytes 15,1401.0,0.103,65.0,96,22,22.92,4.01 (3.12-4.90),74,77.08,3.50 (2.99-4.02),4.67,3.54
oligodendrocytes 16,199.0,0.184,65.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.232,10.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,251.0,0.175,58.0,34,2,5.88,5.29 (4.13-6.45),32,94.12,5.24 (4.58-5.91),2.35,3.12
oligodendrocytes 0,1186.0,0.137,35.0,300,6,2.0,2.96 (2.40-3.51),294,98.0,3.81 (3.60-4.02),6.90,4.10
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.195,76.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,407.0,0.241,97.0,122,16,13.11,1.76 (1.16-2.36),106,86.89,3.65 (3.23-4.06),2.82,2.68
