tipo_celular,module_size,LSM8_MM,LSM8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.098,11.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,282.0,0.107,8.0,12,1,8.33,4.40 (NA-NA),11,91.67,3.20 (1.99-4.41),1.71,5.71
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,40,11.33,2.01 (1.58-2.45),313,88.67,4.21 (4.04-4.39),27.93,5.52
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.09,12.0,302,10,3.31,2.96 (1.16-4.76),292,96.69,4.00 (3.77-4.23),7.84,10.75
oligodendrocytes 20,348.0,0.044,18.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,143.0,0.029,3.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.086,21.0,358,39,10.89,1.87 (1.53-2.21),319,89.11,4.20 (4.02-4.39),33.58,6.53
connective tissue cells 21,118.0,0.265,30.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.336,99.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.332,54.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.095,6.0,127,15,11.81,2.64 (2.16-3.13),112,88.19,3.14 (2.65-3.64),4.18,6.56
microglia 1,1615.0,0.104,43.0,161,30,18.63,1.47 (1.16-1.79),131,81.37,3.80 (3.55-4.06),13.32,3.63
oligodendrocytes 3,743.0,0.074,40.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,1630.0,0.144,55.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
