tipo_celular,module_size,PRKG1_MM,PRKG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.355,99.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.208,64.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,795.0,0.324,96.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26),2.89,3.02
da like neurons 11,191.0,0.567,98.0,93,6,6.45,3.09 (2.03-4.15),87,93.55,5.89 (5.51-6.27),3.40,4.19
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.684,99.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.194,44.0,306,41,13.4,3.47 (2.95-3.99),265,86.6,5.50 (5.23-5.77),5.12,6.95
astrocytes 8,279.0,0.326,77.0,78,13,16.67,2.82 (2.23-3.42),65,83.33,4.67 (4.23-5.12),2.92,2.67
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.262,37.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,208.0,0.368,72.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.059,2.0,138,30,21.74,3.68 (2.99-4.36),108,78.26,5.22 (4.81-5.63),2.76,2.73
astrocytes microglia 23,89.0,0.323,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220.0,0.273,93.0,63,4,6.35,3.40 (2.08-4.72),59,93.65,5.29 (4.71-5.87),2.20,3.37
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
