tipo_celular,module_size,FAM133B_MM,FAM133B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.136,35.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03),NA,3.58
T cells 18,393.0,0.115,23.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656.0,0.12,57.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,4285.0,0.132,44.0,353,4,1.13,1.64 (0.53-2.75),349,98.87,3.92 (3.74-4.11),13.95,8.00
GABA neurons expressing GLU receptors 22,823.0,0.135,23.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.092,21.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,109.0,0.152,26.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.09,15.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,322.0,0.117,47.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.151,61.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.102,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.036,6.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,2107.0,0.191,66.0,358,4,1.12,1.64 (0.53-2.75),354,98.88,3.89 (3.70-4.09),13.43,9.43
connective tissue cells 21,93.0,0.288,54.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1768.0,0.035,5.0,105,4,3.81,1.64 (0.53-2.75),101,96.19,3.28 (2.94-3.62),5.28,3.93
oligodendrocytes 16,69.0,0.206,43.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.348,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.171,91.0,104,4,3.85,1.64 (0.53-2.75),100,96.15,2.92 (2.63-3.20),4.10,5.45
oligodendrocytes 0,613.0,0.134,42.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,958.0,0.104,39.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05),22.95,4.94
oligodendrocytes 3,681.0,0.116,68.0,87,1,1.15,0.55 (NA-NA),86,98.85,2.61 (2.34-2.88),2.53,4.26
oligodendrocytes 2,921.0,0.12,23.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89),13.88,3.41
