tipo_celular,module_size,BAIAP2L2_MM,BAIAP2L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.213,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.205,82.0,169,8,4.73,2.36 (1.26-3.46),161,95.27,3.55 (3.33-3.77),5.02,5.38
GABA like neurons 14,2402.0,0.316,69.0,455,27,5.93,2.36 (1.81-2.91),428,94.07,4.52 (4.34-4.70),22.38,7.98
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.118,56.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.21,41.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,86.0,0.112,15.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.143,92.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.184,25.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
