tipo_celular,module_size,NUDT4_MM,NUDT4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.153,49.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,322.0,0.223,73.0,58,5,8.62,2.26 (1.11-3.42),53,91.38,4.34 (3.92-4.76),2.53,2.30
oligodendrocyte progenitor cells 7,666.0,0.155,41.0,127,10,7.87,2.27 (1.59-2.95),117,92.13,4.04 (3.69-4.38),4.56,5.95
GABA neurons expressing GLU receptors 22,848.0,0.211,50.0,262,16,6.11,2.89 (2.05-3.73),246,93.89,4.25 (4.00-4.51),3.65,4.13
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.061,3.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.287,77.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.103,9.0,455,27,5.93,2.29 (1.66-2.92),428,94.07,4.50 (4.32-4.69),20.00,8.13
astrocytes 8,260.0,0.101,36.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,1049.0,0.051,16.0,235,6,2.55,3.96 (3.91-4.00),229,97.45,3.82 (3.58-4.06),2.70,7.74
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.279,54.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,1768.0,0.065,28.0,105,11,10.48,1.59 (0.97-2.21),94,89.52,3.42 (3.07-3.77),7.18,3.60
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.091,22.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,125.0,0.299,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.125,17.0,104,13,12.5,1.50 (0.95-2.04),91,87.5,3.08 (2.79-3.36),11.38,4.54
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
