tipo_celular,module_size,APBA2_MM,APBA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.186,51.0,68,10,14.71,3.59 (2.17-5.01),58,85.29,4.53 (3.93-5.13),3.13,3.35
astrocytes 5,932.0,0.156,93.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,448.0,0.109,26.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069.0,0.179,60.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.153,64.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.242,70.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,77.0,0.099,6.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.158,64.0,18,1,5.56,0.95 (NA-NA),17,94.44,1.93 (1.22-2.64),5.43,3.70
GABA like neurons 14,2090.0,0.138,38.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.159,89.0,66,4,6.06,2.42 (0.26-4.58),62,93.94,3.29 (2.86-3.71),3.11,2.94
oligodendrocyte progenitor cells 12,153.0,0.489,87.0,27,5,18.52,4.15 (1.94-6.36),22,81.48,5.03 (3.92-6.14),3.28,1.89
oligodendrocytes 10,1277.0,0.119,57.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.135,66.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,112.0,0.165,44.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,448.0,0.078,21.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,137.0,0.247,13.0,188,7,3.72,3.46 (2.07-4.86),181,96.28,4.39 (4.04-4.74),5.56,7.21
astrocytes 4,255.0,0.208,71.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,117.0,0.183,67.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.117,42.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,407.0,0.159,56.0,122,5,4.1,0.88 (0.32-1.44),117,95.9,3.47 (3.08-3.85),3.05,2.69
