tipo_celular,module_size,GPAT4_MM,GPAT4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.109,15.0,102,8,7.84,1.81 (0.97-2.64),94,92.16,3.65 (3.28-4.02),3.99,2.95
T cells 18,477.0,0.148,41.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,23,6.52,2.38 (1.54-3.21),330,93.48,4.03 (3.85-4.21),27.18,6.73
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.065,8.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,197.0,0.105,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.073,16.0,275,10,3.64,0.76 (0.51-1.01),265,96.36,4.13 (3.88-4.38),14.23,5.57
oligodendrocytes 20,253.0,0.132,35.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.141,22.0,455,21,4.62,2.29 (1.64-2.95),434,95.38,4.48 (4.30-4.67),22.93,8.15
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.031,3.0,276,19,6.88,3.36 (2.54-4.18),257,93.12,3.56 (3.33-3.79),7.61,4.93
oligodendrocytes 10,806.0,0.124,37.0,261,11,4.21,2.75 (2.16-3.34),250,95.79,4.46 (4.21-4.71),7.75,5.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,155.0,0.292,84.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,448.0,0.059,4.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,131.0,0.317,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.125,73.0,238,6,2.52,2.07 (1.14-2.99),232,97.48,3.68 (3.46-3.91),9.64,4.90
microglia 1,480.0,0.132,19.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,743.0,0.065,25.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,1630.0,0.157,81.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
