tipo_celular,module_size,BRCA1_MM,BRCA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.122,70.0,80,3,3.75,4.43 (4.31-4.56),77,96.25,3.64 (3.21-4.06),2.01,4.39
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.018,3.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.079,5.0,74,21,28.38,2.69 (2.23-3.14),53,71.62,3.05 (2.55-3.55),3.44,13.30
astrocytes 8,1266.0,0.065,31.0,66,41,62.12,2.65 (2.15-3.16),25,37.88,4.21 (3.68-4.73),3.04,2.81
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.188,65.0,358,138,38.55,2.81 (2.57-3.06),220,61.45,4.77 (4.58-4.96),16.79,4.88
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.04,11.0,10,3,30.0,3.92 (0.95-6.89),7,70.0,3.55 (1.24-5.86),1.44,1.65
oligodendrocytes 16,64.0,0.237,69.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.315,37.0,6,5,83.33,5.75 (NA-NA),1,16.67,NA,2.13,1.61
astrocytes 4,1807.0,0.143,47.0,104,42,40.38,2.15 (1.82-2.48),62,59.62,3.39 (3.02-3.76),8.65,3.20
oligodendrocytes 0,479.0,0.085,2.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51),1.85,3.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.051,10.0,127,8,6.3,3.94 (2.87-5.02),119,93.7,3.08 (2.74-3.42),4.76,4.20
oligodendrocytes 2,1630.0,0.14,46.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52),2.21,3.63
