tipo_celular,module_size,AASDH_MM,AASDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.158,40.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.122,34.0,166,4,2.41,1.12 (0.15-2.09),162,97.59,3.46 (3.21-3.71),3.21,4.58
oligodendrocyte progenitor cells 7,4285.0,0.135,49.0,353,4,1.13,1.12 (0.15-2.09),349,98.87,3.93 (3.75-4.11),33.09,7.78
GABA neurons expressing GLU receptors 22,714.0,0.108,10.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.105,33.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,153.0,0.135,23.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.042,11.0,18,3,16.67,1.43 (0.35-2.51),15,83.33,1.97 (1.18-2.76),2.69,4.01
GABA like neurons 14,3052.0,0.162,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.185,85.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.074,43.0,276,4,1.45,1.43 (0.35-2.51),272,98.55,3.57 (3.35-3.79),16.44,4.94
oligodendrocytes 10,2107.0,0.064,11.0,358,4,1.12,1.12 (0.15-2.09),354,98.88,3.90 (3.71-4.09),27.40,9.27
connective tissue cells 21,118.0,0.139,0.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,338.0,0.158,56.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,86.0,0.278,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.34,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.162,70.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.132,84.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,1615.0,0.085,16.0,161,4,2.48,1.12 (0.15-2.09),157,97.52,3.34 (3.07-3.61),8.77,5.35
oligodendrocytes 3,854.0,0.078,35.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.145,56.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
