tipo_celular,module_size,SLC35E3_MM,SLC35E3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.269,92.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,349.0,0.106,21.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,932.0,0.13,77.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,10,2.83,1.11 (0.47-1.75),343,97.17,3.99 (3.81-4.18),40.94,7.11
GABA neurons expressing GLU receptors 22,823.0,0.122,18.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.137,52.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,265.0,0.192,53.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.101,43.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16),6.82,2.63
GABA like neurons 14,2090.0,0.178,67.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.069,17.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,4,1.45,2.01 (0.90-3.13),272,98.55,3.57 (3.35-3.79),7.69,5.07
oligodendrocytes 10,1277.0,0.105,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,93.0,0.391,93.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,377.0,0.169,65.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,69.0,0.152,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.439,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.159,65.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.121,18.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615.0,0.126,72.0,161,9,5.59,0.99 (0.33-1.65),152,94.41,3.44 (3.18-3.70),16.23,4.79
oligodendrocytes 3,639.0,0.118,66.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,407.0,0.142,35.0,122,7,5.74,0.66 (0.23-1.09),115,94.26,3.54 (3.16-3.92),3.92,2.63
