tipo_celular,module_size,DHCR24_MM,DHCR24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.158,35.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31),2.98,6.17
GABA neurons expressing GLU receptors 22,848.0,0.33,81.0,262,11,4.2,2.39 (1.44-3.35),251,95.8,4.26 (4.01-4.51),5.13,4.06
GLU like neurons 17,637.0,0.179,58.0,91,10,10.99,1.10 (0.43-1.77),81,89.01,5.14 (4.69-5.59),3.11,3.05
da like neurons 11,1220.0,0.242,68.0,410,11,2.68,3.12 (2.37-3.88),399,97.32,4.29 (4.10-4.48),8.84,7.48
GABA neurons expressing GABA receptors 13,265.0,0.159,49.0,78,5,6.41,3.55 (3.12-3.99),73,93.59,4.43 (3.99-4.88),2.61,4.38
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.343,97.0,169,8,4.73,2.04 (0.86-3.21),161,95.27,3.56 (3.34-3.77),4.74,5.39
GABA like neurons 14,2402.0,0.316,69.0,455,19,4.18,1.85 (1.17-2.53),436,95.82,4.49 (4.31-4.68),25.84,8.09
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.162,70.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89),1.61,2.62
oligodendrocytes 10,806.0,0.166,53.0,261,8,3.07,3.01 (2.27-3.75),253,96.93,4.42 (4.18-4.67),7.17,6.03
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.193,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.2,63.0,159,1,0.63,2.68 (NA-NA),158,99.37,4.38 (4.07-4.69),2.02,3.74
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.196,64.0,252,21,8.33,1.86 (1.22-2.50),231,91.67,4.35 (4.11-4.59),10.18,8.03
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.174,64.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,528.0,0.466,97.0,175,6,3.43,3.35 (2.54-4.16),169,96.57,4.43 (4.07-4.80),9.38,4.45
