tipo_celular,module_size,ITFG2_MM,ITFG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.105,14.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,610.0,0.105,17.0,98,9,9.18,0.76 (0.24-1.29),89,90.82,3.39 (3.09-3.68),9.54,3.48
astrocytes 5,932.0,0.156,93.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,15,4.25,1.49 (0.91-2.07),338,95.75,4.03 (3.85-4.21),32.45,6.98
GABA neurons expressing GLU receptors 22,714.0,0.21,65.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,300.0,0.176,38.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08),1.89,2.51
da like neurons 11,408.0,0.081,12.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82),2.15,2.30
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.208,76.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,2090.0,0.207,82.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.095,31.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66),3.04,1.77
oligodendrocyte progenitor cells 12,708.0,0.034,3.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.123,60.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,126.0,0.305,63.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,1768.0,0.118,77.0,105,7,6.67,1.86 (1.11-2.61),98,93.33,3.32 (2.97-3.66),4.85,3.92
oligodendrocytes 16,107.0,0.204,37.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.209,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.132,15.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.113,47.0,238,3,1.26,3.08 (-0.05-6.20),235,98.74,3.64 (3.42-3.86),5.76,5.01
microglia 1,1615.0,0.098,32.0,161,14,8.7,1.91 (0.83-2.99),147,91.3,3.42 (3.16-3.68),11.13,4.89
oligodendrocytes 3,357.0,0.067,26.0,127,1,0.79,6.20 (NA-NA),126,99.21,3.09 (2.76-3.42),2.53,4.25
oligodendrocytes 2,407.0,0.131,24.0,122,18,14.75,2.75 (1.56-3.94),104,85.25,3.45 (3.05-3.84),2.87,2.67
