tipo_celular,module_size,CAMKK1_MM,CAMKK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.048,1.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.135,82.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,1069.0,0.194,71.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.214,80.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,853.0,0.16,68.0,133,17,12.78,2.43 (1.67-3.19),116,87.22,3.40 (3.06-3.74),5.11,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.237,92.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.09,59.0,66,21,31.82,2.33 (1.69-2.98),45,68.18,3.75 (3.27-4.22),4.26,2.34
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.123,78.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06),1.73,3.84
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.088,25.0,122,7,5.74,1.01 (0.36-1.67),115,94.26,4.23 (3.85-4.61),2.26,3.56
astrocytes microglia 23,122.0,0.335,72.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,1807.0,0.105,4.0,104,13,12.5,2.03 (1.43-2.62),91,87.5,2.99 (2.69-3.30),14.21,4.14
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.108,19.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
