tipo_celular,module_size,MAP3K20_MM,MAP3K20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.262,79.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.107,13.0,58,18,31.03,3.12 (2.63-3.61),40,68.97,4.73 (4.23-5.23),2.25,2.35
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,63,17.85,2.71 (2.39-3.04),290,82.15,4.22 (4.02-4.42),11.01,7.42
GABA neurons expressing GLU receptors 22,703.0,0.166,38.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,132.0,0.312,65.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.26,70.0,54,1,1.85,NA,53,98.15,4.84 (4.22-5.46),1.39,5.10
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.088,11.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69),4.99,8.67
astrocytes 8,1266.0,0.072,39.0,66,23,34.85,3.08 (2.58-3.57),43,65.15,3.33 (2.71-3.95),3.14,2.85
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,49,17.75,2.62 (2.30-2.95),227,82.25,3.81 (3.56-4.06),6.44,4.82
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.23,14.0,4,1,25.0,5.34 (NA-NA),3,75.0,2.91 (2.30-3.51),1.78,1.68
astrocytes 15,1768.0,0.07,33.0,105,23,21.9,1.99 (1.54-2.44),82,78.1,3.59 (3.22-3.97),4.87,3.73
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.216,90.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,59.0,0.299,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.123,12.0,96,18,18.75,3.57 (3.18-3.95),78,81.25,3.21 (2.79-3.62),2.73,4.69
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.155,81.0,79,2,2.53,4.32 (1.26-7.38),77,97.47,3.07 (2.66-3.47),3.94,8.00
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
