tipo_celular,module_size,TAF1D_MM,TAF1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.195,47.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,624.0,0.118,23.0,142,3,2.11,5.06 (NA-NA),139,97.89,3.19 (2.93-3.46),5.66,4.27
astrocytes 5,322.0,0.147,38.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60),NA,2.32
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,21,5.95,1.89 (1.26-2.51),332,94.05,4.04 (3.86-4.22),34.88,6.37
GABA neurons expressing GLU receptors 22,703.0,0.238,79.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,300.0,0.211,71.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,853.0,0.067,5.0,133,12,9.02,1.69 (1.03-2.34),121,90.98,3.44 (3.12-3.76),5.81,4.00
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.1,27.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),6.04,5.51
oligodendrocytes 20,271.0,0.336,90.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.077,5.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.07,25.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,14,5.07,2.26 (1.59-2.93),262,94.93,3.61 (3.39-3.84),15.91,4.53
oligodendrocytes 10,2107.0,0.408,98.0,358,20,5.59,1.74 (1.15-2.33),338,94.41,4.01 (3.83-4.20),40.10,7.66
connective tissue cells 21,93.0,0.226,23.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1768.0,0.156,93.0,105,6,5.71,1.76 (1.17-2.35),99,94.29,3.31 (2.96-3.65),10.84,3.56
oligodendrocytes 16,82.0,0.271,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.246,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.141,31.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),2.41,5.80
oligodendrocytes 0,613.0,0.116,21.0,127,2,1.57,3.30 (2.61-3.99),125,98.43,3.04 (2.62-3.47),7.41,6.26
microglia 1,813.0,0.126,61.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49),3.77,7.95
oligodendrocytes 3,357.0,0.142,78.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44),2.21,4.25
oligodendrocytes 2,526.0,0.078,2.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
