tipo_celular,module_size,MRPS26_MM,MRPS26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.168,52.0,164,5,3.05,2.11 (1.71-2.52),159,96.95,4.17 (3.84-4.50),5.10,7.60
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.224,82.0,213,35,16.43,1.89 (1.55-2.24),178,83.57,4.27 (4.05-4.50),15.00,8.64
endothelial cells 9,916.0,0.168,37.0,302,20,6.62,2.73 (2.28-3.19),282,93.38,4.11 (3.87-4.34),23.64,9.73
oligodendrocytes 20,348.0,0.188,69.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2402.0,0.458,85.0,455,40,8.79,1.96 (1.64-2.28),415,91.21,4.67 (4.50-4.85),24.02,7.37
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.185,82.0,235,10,4.26,2.53 (2.15-2.90),225,95.74,3.90 (3.66-4.14),22.51,6.95
oligodendrocytes 10,735.0,0.159,79.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14),4.02,8.98
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.282,80.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,729.0,0.218,79.0,182,16,8.79,2.73 (2.19-3.27),166,91.21,3.75 (3.48-4.02),18.26,7.58
astrocytes microglia 23,72.0,0.436,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.154,41.0,252,32,12.7,1.71 (1.39-2.03),220,87.3,4.58 (4.35-4.80),16.13,7.06
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.068,13.0,154,4,2.6,3.07 (2.72-3.42),150,97.4,3.64 (3.31-3.97),62.70,10.48
oligodendrocytes 2,526.0,0.25,46.0,213,8,3.76,2.69 (2.36-3.01),205,96.24,4.05 (3.76-4.33),25.82,7.24
