tipo_celular,module_size,FAIM2_MM,FAIM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.233,74.0,266,9,3.38,1.50 (0.41-2.59),257,96.62,4.24 (4.04-4.43),5.78,4.95
oligodendrocyte progenitor cells 7,296.0,0.24,74.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848.0,0.36,87.0,262,11,4.2,3.38 (2.20-4.55),251,95.8,4.21 (3.96-4.46),5.35,4.05
GLU like neurons 17,1316.0,0.166,82.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.317,84.0,410,9,2.2,3.92 (2.80-5.03),401,97.8,4.26 (4.07-4.45),6.07,7.55
GABA neurons expressing GABA receptors 13,357.0,0.172,56.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.052,6.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.497,88.0,455,9,1.98,1.07 (0.30-1.83),446,98.02,4.43 (4.25-4.61),41.75,8.17
astrocytes 8,520.0,0.302,88.0,288,5,1.74,2.23 (1.05-3.40),283,98.26,4.22 (4.02-4.42),5.95,4.66
oligodendrocyte progenitor cells 12,1049.0,0.109,60.0,235,2,0.85,2.52 (0.11-4.92),233,99.15,3.84 (3.60-4.07),7.04,7.62
oligodendrocytes 10,806.0,0.324,83.0,261,7,2.68,4.05 (2.80-5.31),254,97.32,4.38 (4.13-4.62),5.34,6.09
connective tissue cells 21,101.0,0.319,53.0,116,2,1.72,1.45 (0.47-2.42),114,98.28,4.69 (4.28-5.10),3.78,3.21
astrocytes 15,367.0,0.218,90.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,313.0,0.284,71.0,291,2,0.69,1.39 (-0.26-3.05),289,99.31,4.35 (4.13-4.58),4.11,3.81
da neurons 6,300.0,0.204,64.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,94.0,0.288,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157.0,0.183,52.0,178,7,3.93,0.86 (0.34-1.39),171,96.07,4.33 (4.08-4.58),3.84,4.53
oligodendrocytes 0,546.0,0.175,53.0,252,12,4.76,1.45 (0.64-2.26),240,95.24,4.27 (4.03-4.51),13.02,7.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.134,60.0,345,2,0.58,1.76 (0.84-2.69),343,99.42,4.29 (4.09-4.50),8.29,5.68
oligodendrocytes 2,528.0,0.327,89.0,175,7,4.0,3.72 (2.85-4.58),168,96.0,4.42 (4.05-4.79),4.38,4.63
