tipo_celular,module_size,MGST1_MM,MGST1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.17,52.0,128,3,2.34,7.18 (7.18-7.18),125,97.66,3.49 (3.16-3.82),1.92,6.88
oligodendrocyte progenitor cells 7,628.0,0.241,81.0,164,19,11.59,3.72 (3.37-4.07),145,88.41,4.14 (3.77-4.51),4.87,7.87
GABA neurons expressing GLU receptors 22,599.0,0.314,88.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.416,97.0,135,8,5.93,2.37 (1.62-3.11),127,94.07,3.25 (2.93-3.57),2.67,3.82
da like neurons 11,168.0,0.297,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,279.0,0.342,84.0,78,6,7.69,3.27 (1.86-4.68),72,92.31,4.42 (3.99-4.85),2.83,2.70
oligodendrocyte progenitor cells 12,1049.0,0.065,29.0,235,19,8.09,3.69 (3.35-4.03),216,91.91,3.84 (3.58-4.09),4.04,7.93
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,250.0,0.192,15.0,117,3,2.56,2.12 (1.30-2.94),114,97.44,5.49 (5.10-5.88),5.38,3.70
astrocytes 15,418.0,0.154,53.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.402,87.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,208.0,0.214,62.0,173,4,2.31,2.99 (1.57-4.41),169,97.69,3.81 (3.51-4.11),3.30,5.68
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
