tipo_celular,module_size,CAMK2B_MM,CAMK2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.211,75.0,28,14,50.0,4.94 (4.28-5.59),14,50.0,5.71 (4.75-6.67),2.26,2.57
oligodendrocyte progenitor cells 7,296.0,0.192,56.0,251,1,0.4,NA,250,99.6,4.07 (3.83-4.30),1.60,6.17
GABA neurons expressing GLU receptors 22,848.0,0.308,78.0,262,46,17.56,4.53 (3.89-5.17),216,82.44,4.04 (3.79-4.30),5.72,3.76
GLU like neurons 17,1247.0,0.189,80.0,51,5,9.8,3.77 (2.25-5.30),46,90.2,3.61 (2.98-4.23),3.42,3.22
da like neurons 11,109.0,0.201,43.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,265.0,0.173,59.0,78,16,20.51,3.62 (3.14-4.10),62,79.49,4.63 (4.11-5.14),4.50,4.20
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.122,15.0,455,28,6.15,1.93 (1.47-2.39),427,93.85,4.57 (4.39-4.75),23.26,7.89
astrocytes 8,283.0,0.186,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.065,32.0,276,33,11.96,2.40 (2.00-2.80),243,88.04,3.75 (3.51-3.98),13.87,3.92
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.064,36.0,54,9,16.67,3.57 (2.88-4.25),45,83.33,3.70 (3.19-4.21),2.91,3.03
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.197,91.0,95,10,10.53,4.53 (4.02-5.05),85,89.47,4.90 (4.40-5.39),4.04,3.28
astrocytes microglia 23,122.0,0.31,55.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,251.0,0.167,53.0,34,3,8.82,2.42 (2.37-2.47),31,91.18,5.49 (4.93-6.06),2.41,3.14
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
