tipo_celular,module_size,SIRT1_MM,SIRT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.067,2.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49),1.77,2.38
T cells 18,610.0,0.146,45.0,98,66,67.35,2.73 (2.38-3.09),32,32.65,4.14 (3.67-4.62),4.87,2.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,46.0,353,141,39.94,2.96 (2.72-3.20),212,60.06,4.72 (4.52-4.92),13.59,4.39
GABA neurons expressing GLU receptors 22,1069.0,0.169,53.0,37,9,24.32,2.69 (1.65-3.72),28,75.68,2.03 (1.53-2.53),2.28,3.36
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,172.0,0.102,9.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.097,43.0,275,107,38.91,2.92 (2.64-3.19),168,61.09,5.08 (4.75-5.40),7.35,4.95
oligodendrocytes 20,298.0,0.038,8.0,6,1,16.67,NA,5,83.33,0.26 (NA-NA),1.62,2.01
GABA like neurons 14,2090.0,0.104,15.0,74,23,31.08,2.89 (2.39-3.39),51,68.92,2.97 (2.46-3.47),3.18,13.80
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,104,37.68,2.81 (2.56-3.06),172,62.32,4.15 (3.85-4.45),8.11,3.30
oligodendrocytes 10,2107.0,0.059,8.0,358,163,45.53,3.08 (2.84-3.33),195,54.47,4.73 (4.52-4.95),15.21,4.68
connective tissue cells 21,96.0,0.313,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.216,69.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,57.0,0.256,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.149,98.0,238,52,21.85,3.60 (3.19-4.01),186,78.15,3.65 (3.39-3.91),5.05,5.02
microglia 1,1615.0,0.13,77.0,161,108,67.08,2.96 (2.66-3.27),53,32.92,4.32 (3.91-4.73),6.75,2.75
oligodendrocytes 3,681.0,0.051,8.0,87,78,89.66,2.66 (2.39-2.93),9,10.34,1.75 (0.52-2.99),4.36,3.20
oligodendrocytes 2,1630.0,0.173,96.0,154,9,5.84,3.17 (2.54-3.80),145,94.16,3.25 (2.97-3.53),2.46,3.66
