tipo_celular,module_size,LRP8_MM,LRP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.083,8.0,136,7,5.15,2.10 (1.49-2.72),129,94.85,3.28 (3.00-3.56),6.10,4.93
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,35,9.92,1.91 (1.66-2.16),318,90.08,4.18 (4.00-4.37),14.00,7.41
GABA neurons expressing GLU receptors 22,714.0,0.179,50.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316.0,0.092,21.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,200.0,0.181,49.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.29,76.0,120,31,25.83,3.60 (3.09-4.11),89,74.17,5.03 (4.67-5.38),4.12,3.49
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.121,27.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55),3.37,11.74
astrocytes 8,1266.0,0.051,16.0,66,15,22.73,3.45 (2.58-4.32),51,77.27,3.15 (2.67-3.63),2.63,3.05
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,41,14.86,2.07 (1.82-2.32),235,85.14,3.90 (3.66-4.13),7.12,4.76
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.113,60.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81),1.41,1.61
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.424,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201.0,0.121,10.0,18,6,33.33,3.78 (1.98-5.58),12,66.67,4.99 (4.12-5.87),2.52,3.38
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.168,86.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
