tipo_celular,module_size,RAB1B_MM,RAB1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.075,4.0,142,2,1.41,5.34 (2.30-8.38),140,98.59,3.17 (2.91-3.44),2.51,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77.0,0.209,66.0,8,5,62.5,2.88 (1.85-3.92),3,37.5,4.52 (NA-NA),1.79,1.73
endothelial cells 9,385.0,0.108,55.0,275,44,16.0,2.37 (1.88-2.86),231,84.0,4.31 (4.04-4.58),6.63,5.74
oligodendrocytes 20,938.0,0.101,37.0,169,27,15.98,2.95 (2.46-3.44),142,84.02,3.58 (3.34-3.82),6.57,5.13
GABA like neurons 14,2402.0,0.212,45.0,455,69,15.16,3.23 (2.79-3.66),386,84.84,4.57 (4.37-4.76),15.39,7.66
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.124,37.0,261,40,15.33,3.19 (2.80-3.58),221,84.67,4.56 (4.30-4.83),5.62,6.15
connective tissue cells 21,118.0,0.372,92.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,61.0,0.274,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.084,18.0,95,1,1.05,5.75 (NA-NA),94,98.95,4.83 (4.39-5.28),2.59,3.37
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.099,21.0,238,26,10.92,3.68 (2.89-4.47),212,89.08,3.63 (3.40-3.86),5.52,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.064,17.0,345,54,15.65,3.37 (3.00-3.73),291,84.35,4.48 (4.25-4.71),9.19,5.04
oligodendrocytes 2,528.0,0.149,18.0,175,30,17.14,3.39 (2.89-3.88),145,82.86,4.61 (4.21-5.02),8.90,3.73
