tipo_celular,module_size,PTDSS2_MM,PTDSS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.089,13.0,136,7,5.15,3.36 (2.55-4.16),129,94.85,3.20 (2.92-3.48),4.60,5.01
oligodendrocyte progenitor cells 7,4285.0,0.1,10.0,353,22,6.23,2.45 (1.54-3.36),331,93.77,4.01 (3.83-4.19),27.02,6.80
GABA neurons expressing GLU receptors 22,487.0,0.215,51.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,1247.0,0.139,54.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853.0,0.164,70.0,133,9,6.77,0.99 (0.27-1.71),124,93.23,3.45 (3.14-3.76),6.16,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.136,27.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2090.0,0.161,55.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,603.0,0.053,26.0,89,3,3.37,1.03 (0.73-1.32),86,96.63,2.84 (2.49-3.20),6.64,6.02
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,16,5.8,3.75 (2.87-4.63),260,94.2,3.52 (3.30-3.75),7.48,4.96
oligodendrocytes 10,1277.0,0.069,23.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.064,35.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,74.0,0.189,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.068,7.0,122,14,11.48,2.09 (1.32-2.85),108,88.52,4.32 (3.92-4.73),6.50,3.09
astrocytes microglia 23,126.0,0.46,96.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.157,73.0,104,13,12.5,2.32 (1.50-3.15),91,87.5,2.94 (2.64-3.24),10.65,4.65
oligodendrocytes 0,2078.0,0.1,22.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88),10.05,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.058,13.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.146,60.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
