tipo_celular,module_size,CYCS_MM,CYCS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.183,53.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848.0,0.197,44.0,262,5,1.91,0.82 (0.42-1.22),257,98.09,4.25 (4.01-4.49),3.55,4.11
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.283,77.0,410,25,6.1,3.56 (2.93-4.18),385,93.9,4.31 (4.12-4.51),20.60,6.67
GABA neurons expressing GABA receptors 13,266.0,0.183,62.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,338.0,0.13,49.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,250.0,0.167,44.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.508,89.0,455,34,7.47,2.62 (2.01-3.24),421,92.53,4.54 (4.36-4.72),26.85,7.38
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.206,75.0,32,7,21.88,1.05 (0.17-1.94),25,78.12,3.98 (3.15-4.81),3.93,2.22
oligodendrocytes 10,806.0,0.262,73.0,261,18,6.9,3.22 (2.63-3.80),243,93.1,4.48 (4.23-4.74),5.84,6.08
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.244,59.0,291,2,0.69,1.15 (-0.02-2.32),289,99.31,4.35 (4.13-4.58),7.47,3.79
da neurons 6,729.0,0.102,23.0,182,3,1.65,5.91 (5.58-6.25),179,98.35,3.59 (3.34-3.84),3.18,8.61
astrocytes microglia 23,78.0,0.332,55.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,116.0,0.114,28.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57),NA,6.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.181,76.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49),6.65,5.69
oligodendrocytes 2,528.0,0.227,64.0,175,3,1.71,3.24 (1.33-5.16),172,98.29,4.41 (4.05-4.76),4.05,4.63
