tipo_celular,module_size,STARD13_MM,STARD13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.386,96.0,32,8,25.0,5.12 (3.97-6.27),24,75.0,3.14 (2.25-4.02),5.46,3.00
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.286,79.0,98,8,8.16,4.47 (3.03-5.91),90,91.84,4.61 (4.19-5.04),3.67,2.56
oligodendrocyte progenitor cells 7,200.0,0.237,74.0,16,2,12.5,6.38 (4.00-8.75),14,87.5,3.52 (2.87-4.17),1.64,4.66
GABA neurons expressing GLU receptors 22,567.0,0.38,90.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,637.0,0.312,83.0,91,18,19.78,3.00 (2.21-3.79),73,80.22,5.10 (4.52-5.68),3.30,3.00
da like neurons 11,408.0,0.413,86.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.233,96.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676.0,0.654,94.0,110,18,16.36,3.82 (3.02-4.61),92,83.64,5.34 (4.85-5.84),3.20,3.59
GABA like neurons 14,3052.0,0.184,85.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,218.0,0.266,92.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708.0,0.258,84.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89),2.01,2.64
oligodendrocytes 10,236.0,0.498,52.0,82,22,26.83,4.70 (4.18-5.21),60,73.17,5.15 (4.41-5.89),2.96,4.16
connective tissue cells 21,147.0,0.2,33.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418.0,0.274,66.0,54,6,11.11,4.35 (3.62-5.07),48,88.89,3.59 (3.10-4.07),2.09,3.13
oligodendrocytes 16,287.0,0.334,56.0,105,21,20.0,3.79 (3.04-4.55),84,80.0,5.62 (5.14-6.10),3.69,3.41
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.3,56.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255.0,0.218,76.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32),1.35,2.42
oligodendrocytes 0,187.0,0.209,67.0,14,3,21.43,6.17 (4.20-8.15),11,78.57,5.41 (4.76-6.06),1.57,2.74
microglia 1,346.0,0.457,99.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,116.0,0.222,11.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,348.0,0.298,81.0,114,25,21.93,4.81 (4.32-5.29),89,78.07,5.24 (4.70-5.79),4.40,4.39
