tipo_celular,module_size,FAM13A_MM,FAM13A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.334,93.0,32,8,25.0,5.12 (3.97-6.27),24,75.0,3.14 (2.25-4.02),5.46,3.00
T cells 18,477.0,0.297,95.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141.0,0.12,33.0,166,6,3.61,3.95 (2.40-5.51),160,96.39,3.36 (3.11-3.62),2.19,4.64
oligodendrocyte progenitor cells 7,436.0,0.123,46.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50),2.53,4.62
GABA neurons expressing GLU receptors 22,823.0,0.227,78.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.132,49.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,153.0,0.329,80.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.259,60.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,295.0,0.357,90.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.196,90.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.279,98.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,153.0,0.483,82.0,27,2,7.41,3.06 (-1.07-7.19),25,92.59,5.07 (4.14-6.00),1.35,2.21
oligodendrocytes 10,2107.0,0.222,75.0,358,12,3.35,2.60 (1.42-3.77),346,96.65,3.92 (3.73-4.11),15.67,9.26
connective tissue cells 21,111.0,0.234,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1768.0,0.121,79.0,105,1,0.95,0.21 (NA-NA),104,99.05,3.24 (2.91-3.58),7.58,3.94
oligodendrocytes 16,149.0,0.154,29.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.162,5.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255.0,0.17,50.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,117.0,0.108,21.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,315.0,0.133,30.0,144,4,2.78,4.77 (1.77-7.76),140,97.22,4.45 (4.14-4.75),5.03,4.18
oligodendrocytes 3,94.0,0.096,53.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921.0,0.143,62.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
