tipo_celular,module_size,MSL3_MM,MSL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.137,35.0,71,12,16.9,2.61 (1.83-3.40),59,83.1,2.62 (2.14-3.10),3.08,3.68
T cells 18,477.0,0.074,3.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.122,64.0,275,50,18.18,1.89 (1.65-2.13),225,81.82,4.69 (4.44-4.94),11.57,4.62
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.324,57.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.093,22.0,290,11,3.79,2.36 (1.53-3.19),279,96.21,3.89 (3.65-4.12),4.76,5.01
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
