tipo_celular,module_size,TGFBR1_MM,TGFBR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.385,84.0,140,39,27.86,4.17 (3.70-4.65),101,72.14,4.72 (4.38-5.07),4.52,3.17
T cells 18,727.0,0.146,53.0,49,5,10.2,4.16 (3.07-5.25),44,89.8,2.21 (1.83-2.59),4.99,6.38
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,79,22.38,2.48 (2.20-2.77),274,77.62,4.46 (4.27-4.64),14.98,6.07
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316.0,0.052,2.0,101,7,6.93,2.94 (2.67-3.20),94,93.07,3.06 (2.69-3.43),2.52,3.09
da like neurons 11,145.0,0.272,62.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.127,50.0,297,15,5.05,4.21 (3.60-4.83),282,94.95,3.64 (3.43-3.85),6.48,5.47
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.145,56.0,125,3,2.4,3.45 (2.73-4.16),122,97.6,3.35 (3.02-3.68),6.42,8.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.1,45.0,32,13,40.62,2.06 (1.00-3.12),19,59.38,4.13 (3.15-5.12),3.15,2.22
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,91.0,0.309,67.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.264,38.0,99,16,16.16,4.00 (3.48-4.53),83,83.84,4.36 (3.97-4.75),3.84,3.12
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.088,9.0,278,12,4.32,4.97 (4.38-5.56),266,95.68,4.32 (4.03-4.61),2.40,6.93
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
