tipo_celular,module_size,CABLES1_MM,CABLES1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.19,53.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91),7.87,2.89
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.455,99.0,98,2,2.04,3.40 (1.50-5.30),96,97.96,4.63 (4.22-5.04),5.65,2.59
oligodendrocyte progenitor cells 7,200.0,0.13,28.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,599.0,0.52,100.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.416,98.0,135,1,0.74,0.55 (NA-NA),134,99.26,3.21 (2.91-3.52),3.02,3.75
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.191,75.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,140.0,0.382,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,138.0,0.493,68.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.428,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.484,89.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.377,81.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,514.0,0.228,69.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.199,54.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
