tipo_celular,module_size,MAST1_MM,MAST1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,30,8.5,2.54 (2.10-2.98),323,91.5,4.05 (3.86-4.24),11.45,7.75
GABA neurons expressing GLU receptors 22,823.0,0.102,9.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,1247.0,0.264,95.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853.0,0.323,99.0,133,15,11.28,2.79 (2.00-3.58),118,88.72,3.33 (2.99-3.66),3.22,4.28
GABA neurons expressing GABA receptors 13,266.0,0.095,10.0,118,2,1.69,NA,116,98.31,4.74 (4.38-5.09),7.15,3.94
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.238,64.0,306,39,12.75,3.74 (3.11-4.37),267,87.25,5.39 (5.12-5.66),9.86,6.25
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.044,18.0,103,4,3.88,6.04 (3.60-8.48),99,96.12,5.52 (5.13-5.91),2.74,3.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.086,34.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
