tipo_celular,module_size,SEZ6L2_MM,SEZ6L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.396,91.0,262,11,4.2,4.15 (2.59-5.71),251,95.8,4.16 (3.91-4.40),5.21,4.06
GLU like neurons 17,300.0,0.281,95.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,1220.0,0.306,82.0,410,2,0.49,2.99 (1.51-4.47),408,99.51,4.26 (4.07-4.44),13.51,7.49
GABA neurons expressing GABA receptors 13,357.0,0.318,91.0,237,1,0.42,6.49 (NA-NA),236,99.58,4.40 (4.16-4.63),6.07,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.172,71.0,169,4,2.37,1.98 (0.55-3.41),165,97.63,3.53 (3.31-3.74),4.61,5.38
GABA like neurons 14,2402.0,0.66,98.0,455,8,1.76,1.13 (0.28-1.99),447,98.24,4.42 (4.24-4.60),44.08,8.20
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.334,84.0,261,7,2.68,5.77 (4.14-7.40),254,97.32,4.31 (4.07-4.55),4.51,6.11
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.237,58.0,291,3,1.03,5.88 (2.31-9.44),288,98.97,4.30 (4.08-4.53),6.05,3.79
da neurons 6,300.0,0.123,36.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.15,39.0,252,8,3.17,1.13 (0.28-1.99),244,96.83,4.22 (3.98-4.46),15.30,7.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.155,67.0,345,5,1.45,4.22 (1.43-7.01),340,98.55,4.27 (4.07-4.48),4.90,5.70
oligodendrocytes 2,526.0,0.301,60.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
