tipo_celular,module_size,INTS12_MM,INTS12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.139,85.0,136,12,8.82,3.78 (2.67-4.89),124,91.18,3.15 (2.87-3.42),5.48,4.94
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,44,12.46,1.96 (1.62-2.30),309,87.54,4.26 (4.09-4.44),25.57,5.57
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,153.0,0.276,61.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.116,31.0,125,3,2.4,5.51 (3.48-7.55),122,97.6,3.29 (2.97-3.60),2.65,8.76
astrocytes 8,727.0,0.13,64.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,39,14.13,2.14 (1.80-2.48),237,85.87,3.86 (3.63-4.09),10.40,4.24
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.032,5.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.302,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807.0,0.146,53.0,104,28,26.92,2.05 (1.58-2.52),76,73.08,3.20 (2.88-3.51),10.24,3.61
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
