tipo_celular,module_size,CCT2_MM,CCT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.282,84.0,21,9,42.86,1.32 (0.61-2.02),12,57.14,3.11 (2.41-3.80),2.36,1.74
T cells 18,282.0,0.157,47.0,241,9,3.73,5.31 (4.07-6.56),232,96.27,4.00 (3.75-4.25),2.79,4.40
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.171,54.0,127,25,19.69,3.56 (2.40-4.72),102,80.31,3.89 (3.56-4.22),3.85,6.33
GABA neurons expressing GLU receptors 22,848.0,0.18,37.0,262,41,15.65,3.54 (2.94-4.14),221,84.35,4.27 (4.00-4.54),7.40,3.49
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.203,58.0,410,77,18.78,4.31 (3.74-4.88),333,81.22,4.24 (4.04-4.44),9.28,7.11
GABA neurons expressing GABA receptors 13,86.0,0.269,99.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,385.0,0.146,77.0,275,110,40.0,3.33 (2.86-3.80),165,60.0,4.36 (4.08-4.64),7.15,5.04
oligodendrocytes 20,275.0,0.039,7.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.361,75.0,455,80,17.58,3.44 (2.88-4.00),375,82.42,4.52 (4.33-4.71),14.40,7.65
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.086,46.0,235,28,11.91,4.72 (4.02-5.41),207,88.09,3.74 (3.50-3.99),6.44,7.77
oligodendrocytes 10,735.0,0.198,88.0,277,36,13.0,6.44 (5.79-7.09),241,87.0,3.76 (3.52-4.00),3.06,9.82
connective tissue cells 21,78.0,0.337,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.23,64.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,409.0,0.124,51.0,235,66,28.09,4.78 (4.23-5.34),169,71.91,3.74 (3.48-4.01),5.67,3.92
astrocytes microglia 23,110.0,0.337,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.097,8.0,127,45,35.43,3.00 (2.38-3.62),82,64.57,3.07 (2.55-3.59),3.59,7.75
microglia 1,958.0,0.109,46.0,290,45,15.52,3.99 (3.34-4.65),245,84.48,3.78 (3.54-4.02),4.59,5.08
oligodendrocytes 3,457.0,0.076,26.0,345,91,26.38,4.56 (4.11-5.01),254,73.62,4.20 (3.96-4.43),8.08,4.84
oligodendrocytes 2,1630.0,0.145,56.0,154,2,1.3,3.03 (2.40-3.66),152,98.7,3.25 (2.98-3.52),2.23,3.61
