tipo_celular,module_size,METRN_MM,METRN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.225,71.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.24,80.0,164,6,3.66,5.67 (4.03-7.30),158,96.34,4.00 (3.67-4.33),3.97,7.66
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.182,42.0,302,4,1.32,2.54 (0.66-4.42),298,98.68,4.01 (3.78-4.23),8.05,10.69
oligodendrocytes 20,938.0,0.355,97.0,169,5,2.96,2.14 (0.49-3.80),164,97.04,3.53 (3.31-3.75),3.88,5.41
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.095,62.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,1049.0,0.137,71.0,235,2,0.85,4.11 (3.81-4.41),233,99.15,3.82 (3.59-4.05),6.52,7.62
oligodendrocytes 10,735.0,0.062,22.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.079,44.0,96,10,10.42,4.58 (3.34-5.82),86,89.58,3.47 (3.00-3.95),2.85,3.91
oligodendrocytes 16,65.0,0.195,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.328,52.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,208.0,0.148,22.0,173,2,1.16,4.16 (2.99-5.33),171,98.84,3.79 (3.49-4.09),2.60,5.66
oligodendrocytes 0,546.0,0.169,49.0,252,4,1.59,2.68 (0.96-4.40),248,98.41,4.12 (3.87-4.37),17.60,8.06
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.095,29.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.405,83.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
