tipo_celular,module_size,EPB41L2_MM,EPB41L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.352,77.0,140,2,1.43,5.55 (5.23-5.87),138,98.57,4.54 (4.25-4.83),4.09,3.54
T cells 18,349.0,0.253,70.0,68,9,13.24,2.37 (1.32-3.42),59,86.76,4.79 (4.23-5.35),2.81,3.39
astrocytes 5,1141.0,0.139,62.0,166,12,7.23,1.74 (1.16-2.32),154,92.77,3.55 (3.29-3.80),11.16,4.03
oligodendrocyte progenitor cells 7,229.0,0.213,59.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,823.0,0.193,59.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,685.0,0.291,91.0,135,23,17.04,2.55 (1.70-3.40),112,82.96,3.30 (2.98-3.63),4.84,3.52
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.166,36.0,74,3,4.05,4.86 (1.15-8.57),71,95.95,5.50 (4.95-6.05),3.51,3.64
oligodendrocytes 20,676.0,0.387,66.0,110,14,12.73,3.38 (2.28-4.47),96,87.27,5.35 (4.90-5.79),4.10,3.44
GABA like neurons 14,3052.0,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.198,77.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708.0,0.576,99.0,32,15,46.88,2.10 (1.23-2.96),17,53.12,4.24 (3.14-5.34),3.26,2.02
oligodendrocytes 10,204.0,0.14,11.0,92,5,5.43,2.53 (2.34-2.73),87,94.57,5.82 (5.36-6.28),3.99,3.71
connective tissue cells 21,103.0,0.199,8.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768.0,0.113,74.0,105,14,13.33,1.90 (1.37-2.42),91,86.67,3.43 (3.07-3.79),7.50,3.44
oligodendrocytes 16,287.0,0.421,82.0,105,19,18.1,3.32 (2.39-4.26),86,81.9,5.64 (5.22-6.05),3.95,3.36
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.382,76.0,99,1,1.01,5.72 (NA-NA),98,98.99,4.28 (3.95-4.62),2.20,3.25
astrocytes 4,752.0,0.159,59.0,96,3,3.12,2.57 (0.61-4.53),93,96.88,3.32 (2.98-3.65),2.45,4.38
oligodendrocytes 0,261.0,0.291,94.0,42,16,38.1,2.75 (1.86-3.65),26,61.9,5.37 (4.82-5.92),2.64,2.05
microglia 1,315.0,0.268,86.0,144,2,1.39,5.55 (5.23-5.87),142,98.61,4.44 (4.13-4.75),3.11,4.22
oligodendrocytes 3,127.0,0.264,54.0,45,7,15.56,2.53 (1.26-3.81),38,84.44,4.85 (3.93-5.78),2.04,6.63
oligodendrocytes 2,347.0,0.186,46.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
