tipo_celular,module_size,FOXJ3_MM,FOXJ3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.179,34.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,727.0,0.167,68.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141.0,0.147,72.0,166,29,17.47,1.94 (1.63-2.26),137,82.53,3.78 (3.51-4.04),4.28,4.61
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,48,13.6,1.86 (1.60-2.11),305,86.4,4.33 (4.15-4.50),18.22,6.47
GABA neurons expressing GLU receptors 22,487.0,0.132,16.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30),2.61,7.75
GLU like neurons 17,685.0,0.182,72.0,135,25,18.52,1.74 (1.44-2.04),110,81.48,3.60 (3.26-3.93),3.74,3.75
da like neurons 11,200.0,0.244,67.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.151,68.0,297,3,1.01,2.71 (2.04-3.38),294,98.99,3.69 (3.48-3.89),7.95,5.49
oligodendrocytes 20,403.0,0.04,9.0,18,7,38.89,0.68 (0.46-0.91),11,61.11,2.64 (1.80-3.47),5.44,2.74
GABA like neurons 14,1300.0,0.054,4.0,306,8,2.61,1.36 (0.83-1.89),298,97.39,5.24 (4.99-5.49),7.59,6.68
astrocytes 8,283.0,0.046,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,38,13.77,1.89 (1.67-2.12),238,86.23,3.91 (3.68-4.13),6.49,4.89
oligodendrocytes 10,2107.0,0.225,76.0,358,59,16.48,1.88 (1.66-2.11),299,83.52,4.43 (4.25-4.60),20.29,7.34
connective tissue cells 21,110.0,0.269,55.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11),1.94,1.68
astrocytes 15,1768.0,0.145,90.0,105,14,13.33,1.22 (0.97-1.47),91,86.67,3.55 (3.21-3.89),5.15,3.80
oligodendrocytes 16,64.0,0.216,69.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,448.0,0.107,57.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,190.0,0.218,18.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.143,35.0,96,11,11.46,2.43 (2.06-2.81),85,88.54,3.43 (3.06-3.80),2.40,4.57
oligodendrocytes 0,1186.0,0.151,62.0,300,10,3.33,2.99 (2.68-3.30),290,96.67,3.83 (3.62-4.04),4.01,4.16
microglia 1,813.0,0.117,51.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.076,28.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,804.0,0.122,15.0,84,5,5.95,1.35 (0.63-2.06),79,94.05,2.80 (2.45-3.14),2.85,3.43
