tipo_celular,module_size,PHLDA3_MM,PHLDA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.132,27.0,213,3,1.41,0.68 (0.05-1.31),210,98.59,3.81 (3.56-4.05),2.71,9.78
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.154,64.0,169,4,2.37,2.50 (0.09-4.90),165,97.63,3.51 (3.29-3.73),2.82,5.43
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,204.0,0.06,8.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.21,50.0,10,2,20.0,2.92 (2.69-3.15),8,80.0,2.94 (1.92-3.97),2.35,1.77
da neurons 6,729.0,0.085,14.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.189,61.0,252,3,1.19,2.15 (-0.30-4.60),249,98.81,4.12 (3.87-4.37),6.71,8.23
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.105,36.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.288,57.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
