tipo_celular,module_size,ZNF793_MM,ZNF793_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.131,75.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.174,95.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39),23.50,6.42
GABA neurons expressing GLU receptors 22,823.0,0.213,72.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1247.0,0.045,2.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.13,51.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29),5.65,3.59
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.034,5.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.093,11.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.082,51.0,66,7,10.61,0.61 (0.34-0.88),59,89.39,3.59 (3.22-3.97),4.09,2.82
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,28,10.14,1.68 (1.46-1.90),248,89.86,3.83 (3.61-4.05),7.40,4.85
oligodendrocytes 10,204.0,0.021,1.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.161,63.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,65.0,0.1,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.318,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.16,78.0,104,17,16.35,1.26 (1.00-1.53),87,83.65,3.21 (2.92-3.49),9.25,4.64
oligodendrocytes 0,2078.0,0.097,18.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.062,16.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.136,37.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
