tipo_celular,module_size,DUSP16_MM,DUSP16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.297,81.0,102,30,29.41,2.61 (2.11-3.11),72,70.59,3.86 (3.42-4.30),4.06,2.60
T cells 18,518.0,0.271,94.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,423.0,0.214,80.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.486,97.0,127,34,26.77,4.09 (3.42-4.76),93,73.23,3.70 (3.32-4.08),3.25,6.79
GABA neurons expressing GLU receptors 22,567.0,0.147,29.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.225,70.0,91,11,12.09,1.13 (0.42-1.84),80,87.91,5.13 (4.69-5.58),3.19,3.04
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.202,61.0,141,4,2.84,1.80 (0.03-3.58),137,97.16,3.00 (2.76-3.24),5.70,6.85
oligodendrocytes 20,250.0,0.228,66.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.19,88.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,771.0,0.209,68.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.128,93.0,276,27,9.78,2.43 (1.89-2.97),249,90.22,3.70 (3.47-3.93),14.12,4.13
oligodendrocytes 10,1277.0,0.177,83.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152.0,0.369,87.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1401.0,0.122,78.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,71.0,0.242,66.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.33,60.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,514.0,0.251,76.0,95,8,8.42,2.65 (0.87-4.44),87,91.58,3.45 (3.02-3.87),2.61,4.83
oligodendrocytes 0,187.0,0.275,86.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14),1.74,2.55
microglia 1,480.0,0.17,40.0,163,17,10.43,3.90 (3.26-4.55),146,89.57,3.69 (3.40-3.97),4.62,5.23
oligodendrocytes 3,1003.0,0.223,98.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.216,58.0,114,2,1.75,3.70 (NA-NA),112,98.25,5.13 (4.72-5.55),1.85,4.44
