tipo_celular,module_size,STRIP1_MM,STRIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.134,34.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.107,35.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,14,3.97,1.15 (0.65-1.66),339,96.03,4.04 (3.86-4.22),37.25,6.86
GABA neurons expressing GLU receptors 22,203.0,0.359,84.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.173,32.0,455,16,3.52,1.54 (0.70-2.37),439,96.48,4.45 (4.27-4.63),33.16,7.95
astrocytes 8,1266.0,0.049,14.0,66,12,18.18,1.50 (0.73-2.27),54,81.82,3.69 (3.29-4.08),4.05,2.71
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,4,1.45,1.14 (0.55-1.72),272,98.55,3.59 (3.37-3.81),12.81,5.00
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.069,32.0,105,6,5.71,1.23 (0.65-1.80),99,94.29,3.34 (3.01-3.68),5.02,3.92
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.091,28.0,122,14,11.48,1.95 (0.46-3.44),108,88.52,4.23 (3.86-4.61),2.68,3.59
astrocytes microglia 23,127.0,0.308,48.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807.0,0.177,96.0,104,5,4.81,0.88 (0.28-1.49),99,95.19,2.97 (2.69-3.25),14.48,4.94
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
