tipo_celular,module_size,FRYL_MM,FRYL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.256,71.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44),2.10,2.46
T cells 18,349,0.104,19.0,68,13,19.12,5.11 (4.09-6.13),55,80.88,4.12 (3.48-4.77),2.45,3.52
astrocytes 5,165,0.391,83.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.254,75.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.359,87.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637,0.465,95.0,91,11,12.09,2.66 (1.56-3.77),80,87.91,4.90 (4.36-5.44),3.57,2.99
da like neurons 11,408,0.408,86.0,25,3,12.0,1.24 (0.28-2.21),22,88.0,5.21 (3.86-6.56),2.57,2.24
GABA neurons expressing GABA receptors 13,288,0.345,90.0,93,20,21.51,4.53 (3.74-5.33),73,78.49,5.37 (4.77-5.97),6.36,3.29
endothelial cells 9,1653,0.245,98.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.182,41.0,110,17,15.45,5.02 (4.21-5.83),93,84.55,4.98 (4.46-5.51),4.85,3.28
GABA like neurons 14,1300,0.122,14.0,306,24,7.84,4.17 (3.37-4.98),282,92.16,5.21 (4.93-5.48),16.52,5.87
astrocytes 8,771,0.66,97.0,48,4,8.33,6.99 (5.40-8.57),44,91.67,4.22 (3.45-4.98),3.14,3.14
oligodendrocyte progenitor cells 12,138,0.321,9.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,204,0.325,25.0,92,1,1.09,2.43 (NA-NA),91,98.91,5.76 (5.29-6.23),7.21,3.68
connective tissue cells 21,250,0.287,41.0,117,20,17.09,4.25 (3.43-5.07),97,82.91,5.72 (5.29-6.14),5.60,3.35
astrocytes 15,458,0.374,95.0,36,3,8.33,7.93 (7.25-8.61),33,91.67,3.39 (2.34-4.43),1.67,2.66
oligodendrocytes 16,287,0.16,14.0,105,21,20.0,4.47 (3.66-5.29),84,80.0,5.32 (4.79-5.84),4.33,3.25
da neurons 6,398,0.431,95.0,138,9,6.52,3.73 (2.70-4.77),129,93.48,4.92 (4.53-5.30),2.82,2.73
astrocytes microglia 23,253,0.213,27.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,102,0.263,73.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,117,0.276,97.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,127,0.177,49.0,24,6,25.0,5.57 (4.12-7.03),18,75.0,4.98 (4.17-5.79),2.84,2.35
oligodendrocytes 3,681,0.187,94.0,87,0,0.0,NA,87,100.0,2.58 (2.31-2.85),NA,4.24
oligodendrocytes 2,921,0.201,99.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
