tipo_celular,module_size,MYO10_MM,MYO10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.143,39.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.085,14.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,27,7.65,1.93 (1.46-2.40),326,92.35,4.11 (3.92-4.29),29.85,6.26
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.347,86.0,120,8,6.67,3.65 (2.19-5.11),112,93.33,4.69 (4.37-5.00),3.13,3.69
oligodendrocytes 20,348.0,0.284,88.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.136,67.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.065,32.0,276,21,7.61,2.39 (1.88-2.90),255,92.39,3.67 (3.44-3.90),12.90,4.47
oligodendrocytes 10,1277.0,0.064,20.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.231,35.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,443.0,0.188,76.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,92.0,0.32,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.306,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.118,6.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.129,80.0,238,3,1.26,1.65 (0.17-3.12),235,98.74,3.67 (3.45-3.89),11.56,4.94
microglia 1,480.0,0.257,76.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98),2.28,5.19
oligodendrocytes 3,1003.0,0.072,23.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.139,18.0,114,16,14.04,4.38 (3.50-5.26),98,85.96,5.28 (4.83-5.74),5.70,4.18
