tipo_celular,module_size,MAPKAPK5_MM,MAPKAPK5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.142,38.0,97,5,5.15,3.99 (2.70-5.28),92,94.85,2.99 (2.59-3.40),3.88,4.96
T cells 18,727.0,0.051,1.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.111,43.0,136,6,4.41,2.23 (1.08-3.39),130,95.59,3.26 (2.98-3.54),6.93,4.90
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,59,16.71,2.35 (2.02-2.68),294,83.29,4.31 (4.12-4.49),20.82,5.50
GABA neurons expressing GLU receptors 22,823.0,0.208,70.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,795.0,0.099,29.0,80,2,2.5,4.07 (4.07-4.07),78,97.5,5.74 (5.32-6.16),2.00,3.04
da like neurons 11,265.0,0.136,27.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.11,35.0,110,9,8.18,2.12 (1.21-3.02),101,91.82,5.37 (4.95-5.78),4.04,3.48
GABA like neurons 14,3052.0,0.112,27.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,260.0,0.078,20.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,48,17.39,2.49 (2.18-2.80),228,82.61,3.85 (3.61-4.10),10.20,4.04
oligodendrocytes 10,2107.0,0.075,15.0,358,74,20.67,2.56 (2.22-2.91),284,79.33,4.34 (4.15-4.54),21.26,6.40
connective tissue cells 21,112.0,0.405,96.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,1401.0,0.024,1.0,96,8,8.33,3.07 (2.20-3.94),88,91.67,3.67 (3.18-4.16),3.08,3.86
oligodendrocytes 16,90.0,0.26,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.295,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.114,8.0,104,27,25.96,2.01 (1.60-2.43),77,74.04,3.19 (2.87-3.52),10.44,3.63
oligodendrocytes 0,2078.0,0.121,64.0,238,13,5.46,2.45 (2.00-2.89),225,94.54,3.72 (3.49-3.95),7.22,4.90
microglia 1,1615.0,0.089,21.0,161,56,34.78,2.36 (2.02-2.70),105,65.22,3.92 (3.60-4.24),9.27,3.38
oligodendrocytes 3,1003.0,0.06,12.0,111,5,4.5,4.99 (3.58-6.40),106,95.5,3.21 (2.87-3.56),1.85,4.34
oligodendrocytes 2,1630.0,0.147,61.0,154,3,1.95,2.94 (2.54-3.35),151,98.05,3.25 (2.98-3.52),2.74,3.61
