tipo_celular,module_size,WIPI1_MM,WIPI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.365,93.0,102,21,20.59,3.01 (2.27-3.75),81,79.41,3.63 (3.22-4.05),4.41,2.67
T cells 18,393.0,0.221,79.0,59,3,5.08,3.40 (2.73-4.07),56,94.92,3.09 (2.56-3.62),3.14,5.46
astrocytes 5,1656.0,0.104,31.0,136,3,2.21,3.28 (2.89-3.67),133,97.79,3.21 (2.93-3.48),3.89,5.01
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.145,33.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,348.0,0.022,2.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.068,35.0,66,15,22.73,1.75 (1.08-2.42),51,77.27,3.75 (3.34-4.17),3.81,2.70
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.075,15.0,358,58,16.2,3.12 (2.56-3.68),300,83.8,4.03 (3.84-4.22),12.83,8.82
connective tissue cells 21,111.0,0.268,44.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,418.0,0.135,53.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,74.0,0.229,72.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,47.0,0.267,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.169,89.0,104,17,16.35,2.63 (1.95-3.31),87,83.65,2.91 (2.60-3.22),7.20,5.05
oligodendrocytes 0,613.0,0.118,23.0,127,11,8.66,3.18 (2.73-3.62),116,91.34,3.04 (2.57-3.50),4.04,6.49
microglia 1,480.0,0.194,52.0,163,5,3.07,3.99 (2.79-5.18),158,96.93,3.70 (3.43-3.97),2.98,5.24
oligodendrocytes 3,681.0,0.087,42.0,87,16,18.39,2.36 (1.59-3.14),71,81.61,2.63 (2.34-2.91),4.16,4.26
oligodendrocytes 2,1630.0,0.138,43.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
