tipo_celular,module_size,RAB18_MM,RAB18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.217,54.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393,0.084,6.0,59,4,6.78,3.56 (2.99-4.13),55,93.22,3.07 (2.53-3.61),2.75,5.53
astrocytes 5,1656,0.111,43.0,136,7,5.15,3.34 (2.64-4.04),129,94.85,3.20 (2.92-3.48),3.98,5.04
oligodendrocyte progenitor cells 7,4285,0.145,66.0,353,38,10.76,2.30 (1.90-2.70),315,89.24,4.15 (3.96-4.33),18.86,6.76
GABA neurons expressing GLU receptors 22,848,0.237,60.0,262,42,16.03,3.02 (2.62-3.42),220,83.97,4.39 (4.12-4.67),4.82,3.97
GLU like neurons 17,1316,0.159,78.0,101,2,1.98,3.36 (1.73-4.98),99,98.02,3.04 (2.69-3.40),2.72,3.06
da like neurons 11,82,0.28,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.095,3.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,338,0.091,26.0,191,8,4.19,3.22 (2.62-3.82),183,95.81,3.92 (3.69-4.15),4.36,9.37
oligodendrocytes 20,228,0.121,20.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,2402,0.178,34.0,455,43,9.45,2.73 (2.27-3.19),412,90.55,4.52 (4.33-4.71),17.80,7.90
astrocytes 8,520,0.1,41.0,288,34,11.81,3.08 (2.72-3.45),254,88.19,4.32 (4.10-4.53),9.44,4.05
oligodendrocyte progenitor cells 12,3303,0.091,65.0,276,26,9.42,2.55 (2.13-2.97),250,90.58,3.68 (3.45-3.92),7.40,4.87
oligodendrocytes 10,806,0.151,48.0,261,36,13.79,3.21 (2.75-3.68),225,86.21,4.54 (4.28-4.80),5.33,6.18
connective tissue cells 21,106,0.231,20.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,443,0.162,58.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,82,0.234,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.104,34.0,95,2,2.11,3.91 (3.91-3.91),93,97.89,4.87 (4.43-5.32),2.46,3.38
astrocytes microglia 23,83,0.276,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.157,61.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.114,50.0,238,12,5.04,2.73 (2.06-3.40),226,94.96,3.69 (3.47-3.92),7.01,4.92
microglia 1,958,0.102,35.0,290,17,5.86,2.54 (1.95-3.12),273,94.14,3.92 (3.68-4.15),6.06,4.93
oligodendrocytes 3,854,0.079,37.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17),3.11,4.76
oligodendrocytes 2,921,0.146,66.0,200,9,4.5,3.09 (2.46-3.72),191,95.5,3.65 (3.37-3.93),5.35,3.37
