tipo_celular,module_size,PLCB4_MM,PLCB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.084,3.0,353,11,3.12,1.80 (1.13-2.46),342,96.88,3.98 (3.79-4.16),22.49,7.60
GABA neurons expressing GLU receptors 22,459.0,0.136,38.0,165,16,9.7,3.00 (2.36-3.64),149,90.3,5.40 (5.05-5.75),2.97,4.21
GLU like neurons 17,1316.0,0.172,85.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,853.0,0.131,51.0,133,5,3.76,2.31 (1.22-3.40),128,96.24,3.30 (2.98-3.62),5.07,4.13
GABA neurons expressing GABA receptors 13,200.0,0.126,28.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,586.0,0.305,67.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.192,43.0,306,28,9.15,2.72 (2.26-3.18),278,90.85,5.47 (5.21-5.72),4.12,6.97
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.39,89.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.206,22.0,32,2,6.25,0.87 (NA-NA),30,93.75,5.26 (4.67-5.86),1.73,2.73
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.105,32.0,124,1,0.81,3.94 (NA-NA),123,99.19,4.19 (3.79-4.58),2.23,3.04
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
