tipo_celular,module_size,CBX3_MM,CBX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.216,54.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,506.0,0.068,3.0,225,15,6.67,1.86 (1.49-2.24),210,93.33,3.79 (3.53-4.04),6.69,7.99
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.132,26.0,164,2,1.22,1.83 (0.77-2.89),162,98.78,4.12 (3.80-4.45),4.54,7.56
GABA neurons expressing GLU receptors 22,848.0,0.175,34.0,262,11,4.2,1.42 (0.81-2.03),251,95.8,4.28 (4.04-4.52),6.20,4.01
GLU like neurons 17,1316.0,0.125,51.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,1220.0,0.087,10.0,410,7,1.71,1.63 (1.01-2.26),403,98.29,4.30 (4.12-4.49),19.15,7.31
GABA neurons expressing GABA receptors 13,77.0,0.184,56.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,916.0,0.186,43.0,302,7,2.32,1.67 (1.12-2.22),295,97.68,4.06 (3.83-4.28),14.20,10.57
oligodendrocytes 20,275.0,0.189,44.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402.0,0.28,62.0,455,26,5.71,1.63 (1.22-2.05),429,94.29,4.57 (4.39-4.74),20.60,8.12
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.043,11.0,235,2,0.85,1.83 (0.77-2.89),233,99.15,3.85 (3.61-4.08),5.99,7.63
oligodendrocytes 10,483.0,0.112,48.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,111.0,0.274,41.0,10,1,10.0,NA,9,90.0,2.44 (1.89-3.00),1.91,1.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.302,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.109,27.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96),3.80,8.65
astrocytes microglia 23,131.0,0.306,42.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.091,5.0,127,23,18.11,2.70 (2.08-3.31),104,81.89,3.17 (2.66-3.68),3.06,6.99
microglia 1,406.0,0.094,12.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,303.0,0.064,11.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.176,23.0,213,1,0.47,2.37 (NA-NA),212,99.53,3.99 (3.71-4.26),11.35,7.92
