tipo_celular,module_size,APIP_MM,APIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.113,17.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.113,46.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50),11.17,4.94
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,16,4.53,1.72 (1.21-2.23),337,95.47,4.02 (3.84-4.21),21.88,7.41
GABA neurons expressing GLU receptors 22,567.0,0.208,57.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.123,42.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,197.0,0.059,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.187,76.0,169,7,4.14,2.27 (0.92-3.61),162,95.86,3.54 (3.33-3.76),2.67,5.48
GABA like neurons 14,3052.0,0.155,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.066,32.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75),2.86,4.51
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,11,3.99,1.57 (1.02-2.13),265,96.01,3.64 (3.42-3.86),9.88,4.91
oligodendrocytes 10,2107.0,0.142,49.0,358,18,5.03,1.52 (1.07-1.97),340,94.97,4.03 (3.84-4.22),18.73,8.98
connective tissue cells 21,78.0,0.269,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.071,34.0,105,11,10.48,1.55 (1.04-2.06),94,89.52,3.42 (3.08-3.77),5.30,3.82
oligodendrocytes 16,112.0,0.254,94.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,80.0,0.321,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.119,7.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078.0,0.118,58.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,1615.0,0.081,11.0,161,11,6.83,1.52 (0.79-2.25),150,93.17,3.43 (3.16-3.70),10.08,5.09
oligodendrocytes 3,854.0,0.15,93.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,131.0,0.121,10.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
