tipo_celular,module_size,ZNF24_MM,ZNF24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.175,23.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,282.0,0.184,60.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.138,84.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,53,15.01,2.12 (1.84-2.41),300,84.99,4.32 (4.14-4.50),20.72,5.83
GABA neurons expressing GLU receptors 22,567.0,0.175,43.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,685.0,0.107,34.0,135,26,19.26,1.95 (1.58-2.31),109,80.74,3.56 (3.21-3.90),3.78,3.74
da like neurons 11,209.0,0.072,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.119,62.0,275,55,20.0,2.27 (1.97-2.57),220,80.0,4.64 (4.37-4.91),10.53,4.72
oligodendrocytes 20,358.0,0.205,72.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,2402.0,0.14,21.0,455,19,4.18,1.35 (0.92-1.77),436,95.82,4.53 (4.35-4.70),20.46,8.33
astrocytes 8,771.0,0.101,42.0,48,4,8.33,0.79 (NA-NA),44,91.67,4.53 (3.78-5.27),2.26,3.22
oligodendrocyte progenitor cells 12,708.0,0.07,24.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.057,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.424,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.086,50.0,105,17,16.19,1.52 (1.17-1.86),88,83.81,3.57 (3.22-3.92),7.01,3.39
oligodendrocytes 16,65.0,0.194,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.286,34.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807.0,0.192,100.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56),11.15,3.76
oligodendrocytes 0,613.0,0.178,79.0,127,16,12.6,2.38 (1.91-2.86),111,87.4,3.22 (2.72-3.71),3.24,6.72
microglia 1,1615.0,0.114,57.0,161,53,32.92,2.12 (1.83-2.40),108,67.08,4.05 (3.74-4.35),8.95,3.71
oligodendrocytes 3,357.0,0.09,46.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47),1.73,4.28
oligodendrocytes 2,528.0,0.172,30.0,175,2,1.14,1.93 (1.64-2.21),173,98.86,4.42 (4.07-4.77),1.76,4.65
