tipo_celular,module_size,SPSB3_MM,SPSB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.149,29.0,98,2,2.04,0.67 (0.43-0.90),96,97.96,3.29 (2.82-3.76),10.24,13.52
T cells 18,518.0,0.184,68.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,1656.0,0.104,31.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48),3.06,5.03
oligodendrocyte progenitor cells 7,628.0,0.159,46.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,703.0,0.152,30.0,23,2,8.7,3.81 (2.57-5.04),21,91.3,1.92 (1.18-2.66),4.14,3.91
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.063,7.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,676.0,0.025,6.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.047,19.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,1049.0,0.092,50.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483.0,0.056,14.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,92.0,0.312,66.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768.0,0.066,29.0,105,22,20.95,2.77 (2.16-3.37),83,79.05,3.34 (2.95-3.73),6.47,3.32
oligodendrocytes 16,116.0,0.357,100.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.326,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.162,82.0,104,15,14.42,2.01 (1.37-2.65),89,85.58,3.02 (2.72-3.32),8.86,4.81
oligodendrocytes 0,546.0,0.079,3.0,252,18,7.14,2.53 (1.86-3.21),234,92.86,4.25 (4.00-4.51),8.77,8.17
microglia 1,1615.0,0.113,56.0,161,21,13.04,2.39 (1.73-3.06),140,86.96,3.44 (3.15-3.72),8.38,4.99
oligodendrocytes 3,743.0,0.09,62.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.139,11.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
