tipo_celular,module_size,COPS7B_MM,COPS7B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.134,27.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,624.0,0.134,35.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.082,7.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.14,51.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,727.0,0.037,3.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.071,34.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.277,27.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,1807.0,0.163,82.0,104,19,18.27,1.83 (1.35-2.31),85,81.73,3.12 (2.81-3.42),13.71,3.54
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.116,60.0,161,29,18.01,1.85 (1.38-2.32),132,81.99,3.67 (3.40-3.95),14.06,3.54
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
