tipo_celular,module_size,RSBN1_MM,RSBN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.29,80.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,610.0,0.14,40.0,98,6,6.12,0.55 (0.29-0.81),92,93.88,3.31 (3.01-3.61),13.22,3.44
astrocytes 5,1656.0,0.12,57.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,6,1.7,0.55 (0.29-0.81),347,98.3,3.96 (3.78-4.15),64.72,7.08
GABA neurons expressing GLU receptors 22,1069.0,0.164,50.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489.0,0.043,2.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,1220.0,0.099,15.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43),NA,7.52
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.056,5.0,275,6,2.18,0.55 (0.29-0.81),269,97.82,4.06 (3.81-4.32),15.11,5.68
oligodendrocytes 20,403.0,0.081,36.0,18,5,27.78,0.61 (0.32-0.89),13,72.22,2.37 (1.58-3.15),6.31,2.82
GABA like neurons 14,2402.0,0.196,40.0,455,6,1.32,0.55 (0.29-0.81),449,98.68,4.41 (4.23-4.59),41.62,8.40
astrocytes 8,577.0,0.043,12.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,1049.0,0.037,6.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483.0,0.074,25.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142.0,0.236,13.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61),2.71,3.32
astrocytes 15,1768.0,0.099,62.0,105,1,0.95,1.18 (NA-NA),104,99.05,3.23 (2.90-3.57),7.38,3.95
oligodendrocytes 16,123.0,0.213,52.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.278,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.166,86.0,104,2,1.92,0.86 (0.24-1.48),102,98.08,2.90 (2.62-3.19),26.34,4.99
oligodendrocytes 0,2078.0,0.105,32.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,1615.0,0.095,28.0,161,6,3.73,0.55 (0.29-0.81),155,96.27,3.40 (3.14-3.66),24.58,4.69
oligodendrocytes 3,743.0,0.049,7.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.135,36.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
