tipo_celular,module_size,EAF2_MM,EAF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.155,45.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.124,15.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08),1.55,2.67
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,400.0,0.111,8.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14),5.15,3.06
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,289.0,0.082,6.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.169,75.0,125,3,2.4,4.47 (4.47-4.47),122,97.6,3.33 (3.00-3.66),2.12,8.77
astrocytes 8,354.0,0.218,91.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.101,64.0,105,15,14.29,1.35 (1.02-1.69),90,85.71,3.55 (3.21-3.90),8.38,3.25
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.43,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201.0,0.244,85.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.151,90.0,161,49,30.43,1.97 (1.70-2.23),112,69.57,4.04 (3.76-4.33),9.80,3.52
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
