tipo_celular,module_size,WBP2NL_MM,WBP2NL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.142,37.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.201,74.0,32,3,9.38,5.67 (3.04-8.29),29,90.62,4.96 (4.46-5.46),4.45,3.73
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.123,42.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.662,100.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300.0,0.053,3.0,306,14,4.58,2.40 (1.58-3.23),292,95.42,5.27 (5.02-5.53),8.29,6.63
astrocytes 8,1266.0,0.097,65.0,66,19,28.79,1.85 (1.18-2.52),47,71.21,3.86 (3.47-4.26),3.23,2.84
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.118,38.0,358,60,16.76,1.92 (1.66-2.18),298,83.24,4.41 (4.23-4.58),20.60,7.23
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.06,26.0,96,9,9.38,2.45 (1.80-3.11),87,90.62,3.76 (3.27-4.25),4.43,3.73
oligodendrocytes 16,105.0,0.341,97.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.265,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.121,10.0,96,11,11.46,2.49 (2.06-2.93),85,88.54,3.42 (3.05-3.79),2.53,4.55
oligodendrocytes 0,2078.0,0.09,9.0,238,17,7.14,2.78 (2.01-3.55),221,92.86,3.70 (3.48-3.93),5.81,4.96
microglia 1,1615.0,0.097,30.0,161,47,29.19,1.94 (1.63-2.25),114,70.81,3.99 (3.71-4.27),7.86,4.43
oligodendrocytes 3,639.0,0.088,43.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,804.0,0.13,24.0,84,8,9.52,1.97 (0.98-2.97),76,90.48,2.79 (2.43-3.14),2.58,3.48
